attraction_name,matched_review_destinations,match_type,review_count,review_evidence_available
Dehena Ella,['Dehena Ella'],exact,77,True
Dehiwala Zoological Gardens,['Dehiwala Zoological Gardens'],exact,208,True
Delgamuwa Rajamaha Viharaya,['Delgamuwa Rajamaha Viharaya'],exact,70,True
Devon Waterfall view point,['Devon Waterfall view point'],exact,144,True
Diva Guhawa,['Diva Guhawa'],exact,82,True
Diyaluma Falls,['Diyaluma Falls'],exact,266,True
Dolukanda rajamaha viharaya,['Dolukanda rajamaha viharaya'],exact,56,True
Dondra Head,['Dondra Head'],exact,205,True
"Dry Zone Botanic Gardens, Hambantota","['Dry Zone Botanic Gardens, Hambantota']",exact,259,True
Dumbara ella waterfalls,['Dumbara ella waterfalls'],exact,65,True
Dumpus Ella,['Dumpus Ella'],exact,14,True
Dunhida Waterfall access point,['Dunhida Waterfall access point'],exact,110,True
Dunhinda Waterfall,['Dunhinda Waterfall'],exact,123,True
Dutch Museum,['Dutch Museum'],exact,129,True
Dutch Reformed Church,['Dutch Reformed Church'],exact,116,True
Excel World Entertainment Park,['Excel World Entertainment Park'],exact,200,True
Flamingos Safari Tours,['Flamingos Safari Tours'],exact,8,True
Galhinna big rock,['Galhinna big rock'],exact,27,True
Galle Dutch Fort,['Galle Dutch Fort'],exact,199,True
Galle Face Green,['Galle Face Green'],exact,198,True
Galle Face park & Beach,['Galle Face park & Beach'],exact,155,True
Galle Fort Attractions and Jumpers Sri Lanka,['Galle Fort Attractions and Jumpers Sri Lanka'],exact,193,True
Galle Fort Clock Tower,['Galle Fort Clock Tower'],exact,192,True
Galpotha Natural water slide,['Galpotha Natural water slide'],exact,10,True
Gampaha Botanical Garden,['Gampaha Botanical Garden'],exact,238,True
Gangarama Sima Malaka,['Gangarama Sima Malaka'],exact,194,True
Gangarama Temple,['Gangarama Temple'],exact,195,True
Gartmore Falls,['Gartmore Falls'],exact,191,True
Glassaugh Falls,['Glassaugh Falls'],exact,19,True
Goraka Ella,['Goraka Ella'],exact,46,True
Guruge Park,['Guruge Park'],exact,220,True
Hambantota Beach,['Hambantota Beach'],exact,32,True
Hambantota Beach Children Park,['Hambantota Beach Children Park'],exact,25,True
Hambantota Port View,['Hambantota Port View'],exact,19,True
Hamilton Canal Park,['Hamilton Canal Park'],exact,59,True
Hiriketiya Beach,['Hiriketiya Beach'],exact,218,True
Historical Mansion Meseum,['Historical Mansion Meseum'],exact,106,True
Horagolla National Park,['Horagolla National Park'],exact,156,True
Horton plains national park,['Horton plains national park'],exact,1009,True
Hulangala mini world end entrance,['Hulangala mini world end entrance'],exact,48,True
Hulangala mini world's end view,"[""Hulangala mini world's end view""]",exact,209,True
Hummanaya Blow Hole,['Hummanaya Blow Hole'],exact,227,True
Hunnasgiriya water falls,['Hunnasgiriya water falls'],exact,302,True
Ibbagala rajamaha viharaya,['Ibbagala rajamaha viharaya'],exact,18,True
Japanese Peace Pagoda - Rumassala,['Japanese Peace Pagoda - Rumassala'],exact,258,True
Jodu ella water falls,['Jodu ella water falls'],exact,85,True
"Jungle Beach, Unawatuna","['Jungle Beach, Unawatuna']",exact,226,True
K & R Tours Hambantota,['K & R Tours Hambantota'],exact,6,True
